0;891
1;865
2;460
3;458
4;794
5;672
6;447
7;654
8;458
9;583
10;477
11;619
12;546
13;635
14;506
15;555
16;693
17;686
18;572
19;563
20;1514
21;561
22;1286
23;649
24;3099
25;765
26;1261
27;464
28;782
29;546
30;3377
31;443
32;1125
33;669
34;587
35;634
36;680
37;513
38;488
39;1623
40;1018
41;1285
42;556
43;411
44;532
45;468
46;581
47;663
48;771
49;599
50;785
51;1050
52;741
53;1049
54;799
55;1075
56;739
57;1992
58;541
59;1043
60;838
61;628
62;2095
63;725
64;727
65;786
66;576
67;468
68;724
69;576
70;566
71;2201
72;658
73;2064
74;700
75;823
76;1420
77;519
78;607
79;712
80;670
81;513
82;535
83;551
84;508
85;550
86;1041
87;628
88;891
89;619
90;880
91;646
92;840
93;882
94;700
95;610
96;1019
97;656
98;571
99;786
100;655
