0;13
1;9
2;8
3;5
4;19
5;8
6;8
7;10
8;6
9;8
10;6
11;19
12;5
13;15
14;10
15;10
16;9
17;5
18;12
19;5
20;29
21;12
22;22
23;18
24;81
25;7
26;20
27;10
28;19
29;14
30;97
31;10
32;25
33;11
34;8
35;8
36;22
37;5
38;4
39;34
40;15
41;12
42;8
43;3
44;11
45;3
46;11
47;11
48;8
49;9
50;19
51;29
52;17
53;7
54;18
55;17
56;15
57;17
58;6
59;19
60;14
61;6
62;23
63;14
64;20
65;16
66;14
67;10
68;12
69;9
70;9
71;32
72;15
73;32
74;10
75;12
76;27
77;8
78;15
79;2
80;11
81;8
82;11
83;12
84;4
85;16
86;33
87;11
88;8
89;8
90;15
91;13
92;15
93;17
94;13
95;14
96;14
97;7
98;16
99;3
100;10
